Paper No.,D,A SMILES,VOC (V),JSC (mA/cm2),FF (%),PCE max (%),Num. atoms (electron-rich unit),Num. atoms (electron-deficient unit),Num. heteroatoms (electron-rich unit),Num. heteroatoms (electron-deficient unit),Proportion of heteroatoms (electron-rich unit),Proportion of heteroatoms (electron-deficient unit),Num. rings (electron-rich unit),Num. rings (electron-deficient unit),Total num. rings,Num. S atoms (electron-rich unit),Proportion of S atoms (electron-rich unit)
10,PMOT39,O=C(C/1=C\C2=CC3=C(C(C4(C5=CC=C(C=C5)CCCCCC)C6=CC=C(C=C6)CCCCCC)=C(C7=C4C=C(C8=C7)C9=C(C8(C%10=CC=C(C=C%10)CCCCCC)C%11=CC=C(C=C%11)CCCCCC)C(SC(/C=C%12C(C%13=C(C\%12=C(C#N)/C#N)C=C(F)C=C%13)=O)=C%14)=C%14S9)S3)S2)C%15=C(C1=C(C#N)/C#N)C=C(F)C=C%15,0.897,17.84,65.8,10.5,34,22,4,4,0.117647059,0.181818182,7,2,15,4,0.117647059
10,PEHTT,O=C(C/1=C\C2=CC3=C(C(C4(C5=CC=C(C=C5)CCCCCC)C6=CC=C(C=C6)CCCCCC)=C(C7=C4C=C(C8=C7)C9=C(C8(C%10=CC=C(C=C%10)CCCCCC)C%11=CC=C(C=C%11)CCCCCC)C(SC(/C=C%12C(C%13=C(C\%12=C(C#N)/C#N)C=C(F)C=C%13)=O)=C%14)=C%14S9)S3)S2)C%15=C(C1=C(C#N)/C#N)C=C(F)C=C%15,0.89,18.9,64.4,10.8,34,22,4,4,0.117647059,0.181818182,7,2,15,4,0.117647059
10,PMTT56,O=C(C/1=C\C2=CC3=C(C(C4(C5=CC=C(C=C5)CCCCCC)C6=CC=C(C=C6)CCCCCC)=C(C7=C4C=C(C8=C7)C9=C(C8(C%10=CC=C(C=C%10)CCCCCC)C%11=CC=C(C=C%11)CCCCCC)C(SC(/C=C%12C(C%13=C(C\%12=C(C#N)/C#N)C=C(F)C=C%13)=O)=C%14)=C%14S9)S3)S2)C%15=C(C1=C(C#N)/C#N)C=C(F)C=C%15,0.945,18.67,71.4,12.6,34,22,4,4,0.117647059,0.181818182,7,2,15,4,0.117647059
12,J52-TBF0,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.832,11.5,58.6,5.61,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
12,TBF100,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.745,15.57,66.2,7.68,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
12,J52-TBF80,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.756,16.76,66.6,8.44,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
12,J52-TBF20,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.803,17.68,70.5,10,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
12,TBFCl50-FTAZ,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.873,17.94,64,10.02,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
12,TBCl-BDD,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(CCCCCC5=CC=CC=C5)CCCCCC6=CC=CC=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(CCCCCC%12=CC=CC=C%12)CCCCCC%13=CC=CC=C%13)C%11=C7)=C(C#N)/C#N,0.9,16.78,68.3,10.31,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
12,J52-TBF50,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.79,17.93,72.8,10.32,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
