Paper No.,PCE max (%),VOC (V),JSC (mA/cm2),FF (%),"For VOC, JSC and FF, when only average values were available instead of actual values of the best devices, the average values were listed. These data were mainly obtained from tables and the main text of articles. Some data were from the supplymentary materials."
72,8.5,0.87,14.38,68,
72,8.47,0.89,14.1,67.7,
72,7.59,0.85,13.58,65.45,
72,6.8,0.92,11.03,67.2,
73,2.23,0.68,7.85,42,
73,5.49,0.69,14.39,55,
73,5.57,0.69,13.68,59,
73,5.31,0.69,13.53,57,
73,5.23,0.69,13.3,57,
73,3.73,0.72,10.17,51,
73,2.21,0.71,7.18,43,
73,2.35,0.68,7.1,49,
73,2.25,0.71,6.41,49,
74,6.38,1.04,10.62,57.8,
74,4.21,1.08,7,55.6,
74,3.08,1.06,5.46,53.3,
76,5.03,1.06,12.06,40,
76,8.19,1.06,13.52,57,
76,6.9,1.07,11.23,57,
76,3.39,1.07,8.37,38,
76,2.74,0.88,6.44,48,
76,5.09,0.81,9.42,67,
77,9.13,0.82,17.06,65,
77,7.27,0.86,13.57,62,
77,3.63,9.6,0.77,49,
77,7.31,9.25,1.33,59,
77,6.55,9.61,1.06,64,
77,7.5,9.37,1.25,64,
78,9.6,0.67,19.4,73.1,
78,10.7,0.72,22.1,67,
78,11.2,0.91,17.1,72.5,
78,6.7,0.9,12.5,59.4,
79,12.36,0.93,18.86,71,
79,11.22,0.93,17.31,70,
79,9,0.92,16.42,60,
80,9.25,0.97,14.26,64.08,
80,12.07,0.94,19.9,64.51,
80,10.82,0.92,18.55,63.41,
80,10.74,0.98,17.22,63.62,
80,10.05,0.92,16.75,65.23,
80,9.33,0.86,16.56,65.52,
81,7.32,0.86,14.8,57.4,
81,3.81,0.68,10.01,55,
81,7.68,0.83,16.51,55.5,
81,5.32,0.64,15.85,52.3,
81,6.2,0.69,14.06,63.5,
81,5.81,0.71,13.54,60.1,
82,10.7,0.643,23.5,70.8,
82,7.21,0.85,14.5,58.2,
82,12.6,0.668,25.9,72.6,
83,7.23,0.8,13.94,64.8,
83,5.48,0.77,12.55,56.7,
83,4.1,0.78,9.88,53.2,
84,11.1,0.72,19.8,73,
84,9.9,1.02,15.5,60,
85,15.8,0.84,25.9,73,
85,15.3,0.85,25.2,72,
85,13.5,0.88,20.6,74,
85,13.1,0.9,20.2,72,
85,12,0.84,20,71,
88,11.39,1.01,17.89,63.05,
88,8.25,0.8,14.85,69.46,
88,9.79,0.73,22.06,60.47,
88,12.11,0.74,25.11,65.18,
88,1.31,0.81,4.43,36.7,
93,16.22,0.85,25.41,74.9,
93,14.63,0.83,24.49,71.8,
99,6.87,0.94,11.58,63.1,
99,8.64,0.94,13.76,66.8,
105,14.36,0.859,23.05,72.51,
105,13.68,0.876,21.78,72,
105,13.18,0.851,21.3,72.76,
105,9.12,0.811,17.39,64.62,
107,9.98,0.74,23.1,58.36,
107,13.01,0.87,22.14,67.53,
107,14,0.86,23.31,69.75,
110,10.11,0.943,17.05,62.89,
110,10.08,0.965,16.12,64.79,
112,12.2,0.872,20.4,68.7,
112,10.3,1.1,14.5,64.3,
114,8.87,0.75,20.4,58.05,
114,7.4,0.7,19.13,55.48,
114,6.92,0.73,16.55,57.5,
114,5.62,0.73,13.41,57.74,
115,5.87,0.95,12.01,51.26,
115,4.36,0.92,11.88,40.07,
115,4.95,0.93,11.79,45.12,
115,5.05,0.92,11.65,47.13,
115,5.45,0.99,11.49,47.6,
115,5.48,0.96,11.44,49.68,
115,5.55,1.01,11.23,49.15,
115,6.28,1.02,11.21,54.77,
115,3.55,0.92,10.95,35.42,
115,5.98,1.01,10.74,54.78,
115,4.99,1.02,10.53,46.6,
115,5.61,1.02,10.47,52.45,
115,5.25,1,10.12,51.64,
115,3.7,0.95,9.96,39.27,
115,3.07,0.93,9.47,34.7,
115,4.72,1.02,9.06,51.28,
116,10.9,0.902,18.5,65.6,
116,10.6,0.902,18.2,64.3,
116,10.2,0.899,18.1,62.7,
116,10.3,0.903,17.9,63.7,
116,10.1,0.905,17.8,62.9,
116,10,0.897,17.8,62.6,
116,10,0.9,17.7,62.9,
116,9.9,0.891,17.4,63.9,
116,10.4,0.904,17.5,65.7,
116,11.5,0.908,18.5,68.2,
118,7.6,0.8,15.3,63.7,
118,7,0.78,15.1,61.1,
118,7.9,0.81,15.5,64.3,
118,7.4,0.79,15.2,62.8,
118,7.1,0.8,14.8,60.8,
119,8.74,0.701,18.8,66,
119,6.73,0.714,14.5,64.9,
121,9.9,0.79,24.5,52,
121,10.5,0.73,26.2,55,
121,9.7,0.71,24.3,56,
121,11.5,0.78,25.8,57,
123,12.05,0.89,19.01,71.21,
123,10.88,0.87,18.01,69.57,
126,11.23,0.88,17.86,71.47,
126,7.16,0.79,14.88,61.21,
127,6.63,1.14,9.89,59,
127,5.82,1.1,9.75,54,
134,6.14,0.87,13.89,50.56,
134,5.07,0.88,12.27,46.92,
134,4.52,0.87,10.74,48.15,
134,3.93,0.86,9.59,47.26,
